Date/Time,Word Count,ca-ES,en-US,es-ES
2026.01.04-22.32.32,1383,1383,0,0
2026.01.04-22.45.44,1383,1383,22,21
2026.01.04-22.58.27,1383,1383,42,41
2026.01.07-18.48.33,1381,1381,41,40
2026.01.07-19.00.04,1381,1381,157,156
2026.01.07-19.11.13,1381,1381,400,396
2026.01.07-19.24.20,1381,1381,595,595
2026.01.07-19.27.41,1381,1381,594,593
2026.01.07-19.30.43,1381,1381,595,595
2026.01.07-19.44.15,1381,1381,763,763
2026.01.07-20.01.07,1381,1381,879,879
2026.01.14-16.46.35,1381,1381,999,996
2026.01.14-17.33.50,1383,1383,999,996
